"Summary","Description","Work Type","Priority","Status","Component","Labels","Labels","Labels"
"Latest email engagement is not classified correctly on Lead and Contact","CONTEXT
Sales teams need the latest email date, direction, and body visible on each Lead or Contact. Native messages and email Tasks are processed through separate flows.

ISSUE OR REQUEST
Inbound replies logged as Tasks are stamped as sent emails, making the latest engagement state unreliable.

EXPECTED BEHAVIOR
The newest relevant email should update the person record as Email Sent or Email Reply without older messages overwriting newer activity.

ACTUAL BEHAVIOR
The Task flow classified every email as Email Sent because Task has no Incoming field. Subject prefixes also proved inconsistent.

INVESTIGATION AND FINDINGS
Native email direction is reliable through Incoming and EmailMessageRelation. In a labelled Task sample, outbound sales-engagement emails consistently contained a tracking prefix in Description, while inbound messages did not.

RESOLUTION
Separate bulk-safe flows were implemented. Native emails use Incoming and relation type; Tasks use the verified Description prefix. A date guard prevents stale overwrites, and the backfill keeps only the newest engagement.

VALIDATION
The Task rule classified all 30 labelled samples correctly. Lead and Contact scenarios, stale dates, missing relations, and a bulk load of approximately 200 messages were tested without limit errors.","Story","Medium","Done","Salesforce Email Automation","tckt-0001","family-email-activity","solution-verified"
"Hebrew natural-language questions generate incorrect or invalid SOQL","CONTEXT
A Salesforce dashboard translates Hebrew questions into SOQL and presents answers as tables or charts. The schema contains managed-package objects and ambiguous business terms.

ISSUE OR REQUEST
Common questions about claims, agents, products, and conversion rates return errors or semantically incorrect results.

EXPECTED BEHAVIOR
Questions should map to the correct schema, filters, and aggregation rules. Raw record queries should render as tables, and unsupported requests should be rejected safely.

ACTUAL BEHAVIOR
The model confused claims with service requests, used fields on the wrong object, grouped by nonexistent relationships, returned IDs instead of names, and produced invalid aliases.

INVESTIGATION AND FINDINGS
The failures came from incomplete schema grounding, contradictory prompt rules, ambiguous terminology, and missing business definitions.

RESOLUTION
The prompt and schema map were revised with verified relationships, picklists, business rules, SOQL examples, a fallback, column controls, and table routing. This is partial because roughly 150 questions remain.

VALIDATION
The original failing questions now produce valid queries and expected live-data results. Schema and prompt rules were reviewed through three correction rounds, but final acceptance depends on completing the remaining question set.","Task","Medium","In Progress","Natural Language to SOQL","tckt-0002","family-ai-to-soql","solution-partial"
"Credits and contract conversions need a traceable many-to-many process","CONTEXT
A Salesforce process handles refunds and conversions of unused contract value. The manual process could not reliably support partial actions, multiple sources and targets, or a complete audit trail.

ISSUE OR REQUEST
Users need a money-pool workflow that balances source value against new contracts while preserving history.

EXPECTED BEHAVIOR
Selected contracts should contribute value into one pool, allocations should balance before commit, and every source and target should remain traceable. Refunds must exclude bonus quantities and apply agreed fees and tax.

ACTUAL BEHAVIOR
The one-to-one model required multi-step conversions, overwrote history, and could not represent non-lead budgets. New target contracts also require values that cannot be inherited logically.

INVESTIGATION AND FINDINGS
A Screen Flow was selected to reduce maintenance. Testing identified open decisions for required target fields and validation messages.

RESOLUTION
Version 34 implements source selection, pool accumulation, allocation, a hard balance gate, audit objects, deductions, and refund handling. This is partial because configuration decisions and QA remain unresolved.

VALIDATION
Merge, split, and many-to-many scenarios were exercised. A refund example correctly calculated 94 leads at 50 NIS as 4,700 NIS. Final acceptance is blocked on two business decisions.","Task","Medium","In Progress","Opportunity Credits and Conversions","tckt-0003","family-revenue-operations","solution-partial"
"Account intent pipeline cannot complete its Salesforce write stage","CONTEXT
An account-based marketing pipeline combines engagement, news, intent, and scoring, then writes a daily Salesforce summary. Collection and scoring modules exist, while scheduling is being prepared separately.

ISSUE OR REQUEST
The pipeline needs a destination field, authentication configuration, expanded rendering, and an end-to-end dry run.

EXPECTED BEHAVIOR
Each eligible Account should receive a daily rich-text summary. Credentials must use environment variables, live writes must remain switchable, and all required sections must render.

ACTUAL BEHAVIOR
The required Account field does not exist, so writes cannot be tested. The renderer handles only older sections, credentials are not configured, and the scheduler still references an unconfirmed entry-point filename.

INVESTIGATION AND FINDINGS
The missing Salesforce field is the immediate blocker. Credential names, entry point, dependencies, permissions, and layout also require confirmation.

RESOLUTION
No verified solution has been implemented. Existing modules remain in dry-run mode and no Salesforce writes have been authorized.

VALIDATION
Next steps are to create the destination field, confirm environment-variable names and dependencies, run the complete pipeline in dry-run mode, verify every rendered section across the full filtered account list, and authorize live writes only after review.","Task","Medium","In Progress","ABM Intent Integration","tckt-0004","family-crm-integration","solution-unresolved"
"Opportunity approval flow creates duplicate review tasks","CONTEXT
CLIENT_A uses a record-triggered Opportunity flow to create one approval task when Discount_Percent__c exceeds the regional threshold.

ISSUE OR REQUEST
Editing an unrelated Opportunity field after submission creates another open approval task for the same record.

EXPECTED BEHAVIOR
Only one open approval task should exist until the current approval cycle is completed.

ACTUAL BEHAVIOR
Every qualifying update creates another task because the flow evaluates only the current discount value.

INVESTIGATION AND FINDINGS
Flow debug showed that the create-task branch ran on every update. Existing open tasks were not queried, and prior-value conditions were not used. The entry criteria checked only that the discount was above the threshold and did not check that the record had newly entered the approval state.

RESOLUTION
The flow was changed to run when the discount crosses the threshold or the approval status is reset. A Get Records step now prevents creation when an open approval task already exists. Manual task deletion does not automatically reset the Opportunity approval status.

VALIDATION
A new qualifying discount created one task. Five unrelated Opportunity updates created no additional tasks. Resetting and resubmitting the approval created exactly one new task.","Bug","High","Done","Opportunity Automation","tckt-0005","family-salesforce-flow","solution-verified"
"Case escalation flow repeatedly updates its own trigger field","CONTEXT
A Case after-save flow stamps Escalated_At__c and assigns urgent cases to the escalation queue.

ISSUE OR REQUEST
Some urgent cases produce repeated flow interviews and eventually fail with a maximum trigger-depth error.

EXPECTED BEHAVIOR
The Case should be reassigned and stamped once.

ACTUAL BEHAVIOR
The flow updates Escalation_Required__c during an after-save execution, causing the same flow to qualify again.

INVESTIGATION AND FINDINGS
Debug logs showed repeated updates from the same flow interview path. The trigger field remained true after each update. The after-save flow changed a field included in its own entry condition without an idempotency guard.

RESOLUTION
The field updates were moved to a before-save path where possible. The after-save queue assignment now runs only when Escalation_Required__c changes from false to true, and a processed timestamp prevents re-entry. Cases imported with an already populated processed timestamp are intentionally skipped.

VALIDATION
Twenty urgent cases were created and updated. Each produced one assignment and one timestamp, with no recursive interviews or depth errors.","Bug","Highest","Done","Case Escalation Flow","tckt-0006","family-salesforce-flow","solution-verified"
"Scheduled renewal actions intermittently remain pending","CONTEXT
A scheduled flow path sends renewal reminders 30 days before Contract EndDate.

ISSUE OR REQUEST
A small subset of contracts reaches the reminder date without producing an email or a failed-flow record.

EXPECTED BEHAVIOR
Every eligible active contract should generate one renewal reminder.

ACTUAL BEHAVIOR
Most reminders are sent, but several scheduled actions remain pending beyond their execution time.

INVESTIGATION AND FINDINGS
The affected records have valid email addresses and meet the flow criteria. Pending-interview exports show the actions, but current logs do not include their execution attempt. The root cause has not yet been identified. Current evidence suggests an execution-capacity or scheduling issue, but this is not verified.

RESOLUTION
No verified resolution is currently available. The issue has been escalated with pending-interview identifiers and execution windows. The frequency is low and the available debug-log retention does not cover all affected executions.

VALIDATION
Not applicable because no corrective change has been implemented.","Task","Medium","In Progress","Renewal Scheduling","tckt-0007","family-salesforce-flow","solution-unresolved"
"ERP account retry creates duplicate Salesforce accounts","CONTEXT
An ERP integration upserts Salesforce Account records using ERP_Customer_ID__c as the external identifier.

ISSUE OR REQUEST
Retries after network timeouts occasionally create a second Account for the same ERP customer.

EXPECTED BEHAVIOR
The retry should update or return the existing Account.

ACTUAL BEHAVIOR
A second Account is inserted when the retry path omits the external-ID field from the upsert request.

INVESTIGATION AND FINDINGS
Request logs showed that the first path used upsert by ERP_Customer_ID__c, while the retry path used a plain insert. Both payloads contained the same business identifier. The retry handler called a legacy insert method instead of the shared external-ID upsert method.

RESOLUTION
Both initial and retry processing now use the same upsert operation keyed by ERP_Customer_ID__c. The field was also configured as unique. Historical accounts with a missing ERP customer ID require separate cleanup.

VALIDATION
Timeouts were injected before and after commit for 50 payloads. Every retry returned the same Salesforce Account ID and no duplicates were created.","Bug","High","Done","ERP Account Sync","tckt-0008","family-crm-integration","solution-verified"
"Contact updates are overwritten by older middleware events","CONTEXT
Contact changes are synchronized bidirectionally between Salesforce and a customer portal through middleware queues.

ISSUE OR REQUEST
A newer phone number entered in Salesforce can be replaced minutes later by an older portal event.

EXPECTED BEHAVIOR
The most recent business update should win regardless of delivery order.

ACTUAL BEHAVIOR
Events are applied in arrival order, so a delayed older event overwrites the newer value.

INVESTIGATION AND FINDINGS
Middleware logs confirmed out-of-order delivery. Payloads include event timestamps, but the Salesforce consumer does not compare them with Last_External_Update__c. The consumer lacks stale-event detection and treats queue arrival time as update order.

RESOLUTION
Timestamp comparison was implemented for phone and email fields. Address fields still use arrival order because the portal currently sends incomplete timestamps. The resolution is partial until reliable timestamps are available for all synchronized fields.

VALIDATION
Out-of-order phone and email events were rejected correctly in 30 tests. Address updates remain under investigation.","Bug","Medium","In Progress","Contact Synchronization","tckt-0009","family-crm-integration","solution-partial"
"Large order batches exceed integration processing window","CONTEXT
A nightly middleware job sends completed ERP orders to Salesforce in batches of 2,000 records.

ISSUE OR REQUEST
Peak-day batches exceed the job execution window and leave the final records unsynchronized.

EXPECTED BEHAVIOR
All orders should complete within the nightly window.

ACTUAL BEHAVIOR
The job times out before processing the last batch segment.

INVESTIGATION AND FINDINGS
Processing time grows with Salesforce lookup volume. No single record fails; the job reaches its middleware time limit. The current synchronous batch design performs repeated Salesforce lookups and cannot meet the peak-volume window.

RESOLUTION
As a temporary workaround, the job runs in four smaller scheduled waves and resumes from a persisted order cursor. This is not the permanent design. End-to-end completion takes longer, and a queue-based architecture is still required.

VALIDATION
Three peak-size datasets completed without missing orders across four scheduled waves.","Task","High","Done","Order Synchronization","tckt-0010","family-crm-integration","solution-workaround"
